"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
ca67d4fc-6c91-45ca-b470-eb067e9f1795,Add Products,Add Products,true,false,addProductsBtn,All,true,"#N/A",900.0,onAddProducts,"#N/A","#N/A",Add Products,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Menu,"#N/A","#N/A"
d2281cec-cf68-4dbf-a446-7bcb91ffbd39,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,"#N/A",902.0,onUpgradeAssets,"#N/A","#N/A",Upgrade Assets,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
d40fbbc1-7aeb-4a1a-b5a0-e324f030d986,Amend,Amend,true,false,"#N/A",All,false,"#N/A",930.0,"#N/A","#N/A","#N/A",Amend,Contract Panel,AmendContract,Contract Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
df17fa20-65d6-449e-8ceb-30250682ed24,Include Document,Include Document,true,false,"#N/A",All,false,"#N/A",916.0,"#N/A","#N/A","#N/A",Include Document,Quote Panel,NewQuoteRelatedContent,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
e08dac4c-2193-42c5-b8a2-b5c08155cfbf,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",910.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
e2d94054-913b-4c8c-a1c1-4f18fd239c94,Refresh Prices,Refresh Prices,true,false,"#N/A",All,false,"#N/A",918.0,"#N/A","#N/A","#N/A",Refresh Prices,Quote Panel,RefreshQuotePrice,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
e8d23c76-0c42-4ef3-9c91-5105cf79cd78,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",916.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
e9af07df-949b-412e-b6cd-057e46c56d7c,Include Document,Include Document,true,false,"#N/A",All,false,"#N/A",940.0,"#N/A","#N/A","#N/A",Include Document,Opportunity Panel,NewOpportunityRelatedContent,Opportunity Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
eabc06ae-ac50-4db7-9a55-d4a4854e3ebb,Preview Approvals,"#N/A",true,false,"#N/A",All,false,"#N/A",917.0,"#N/A","#N/A","#N/A",Preview Approvals,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,Popup,/apex/sbaa__PreviewApprovals?id={!Id}&isdtp=vw&hideSubmit=1
ee6ee49b-6da4-4fd8-893c-f94301467cd4,Ungroup,Ungroup,true,false,ungroupBtn,All,false,"#N/A",906.0,onUngroup,"#N/A","#N/A",Ungroup,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
f9adfd22-845a-46d3-8017-e881783b3845,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",951.0,updateLineOptional,"#N/A","#N/A",Optional: All,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
f9e09bd2-6434-4b48-851b-8de533fc50cf,Renew Contracts,Renew Contracts,true,false,"#N/A",All,false,"#N/A",931.0,"#N/A","#N/A","#N/A",Renew Contracts,Contract Panel,RenewContracts,Contract Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
fa5c0369-d520-406c-8d85-86275dfc383d,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",954.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
fcba1e58-3a0e-4126-b928-4ebd9934b93d,Add Favorites,Add Favorites,true,false,addFavoritesBtn,All,false,"#N/A",901.0,onAddFavorites,"#N/A","#N/A",Add Favorites,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
